Name_FAD,degree_N,min_N,degree_W,min_W,lat,lon,NumFAD,buoy,released
HH,21,2.1,158,2.1,21.035,-158.035,1,1,8
BO,21,9,158,9.1,21.15,-158.151666666667,2,1,0
S,21,23.8,158,14.8,21.3966666666667,-158.246666666667,3,1,16
R,21,27.5,158,16.9,21.4583333333333,-158.281666666667,4,1,6
V,21,32.3,158,18.8,21.5383333333333,-158.313333333333,5,1,0
CO,21,33.7,158,26.8,21.5616666666667,-158.446666666667,6,1,14
II,21,44.8,158,13.3,21.7466666666667,-158.221666666667,7,1,0
J,21,50,158,8.8,21.8333333333333,-158.146666666667,8,1,0
X,21,51.8,157,59.6,21.8633333333333,-157.993333333333,9,1,0
LL,21,44.9,157,45.3,21.7483333333333,-157.755,10,1,12
U,21,34.9,157,41.5,21.5816666666667,-157.691666666667,11,1,0
MM,21,36.4,157,31.2,21.6066666666667,-157.52,12,1,0
T,21,30.2,157,25.8,21.5033333333333,-157.43,13,1,0
