NumFAD,lat,lon,AFADs,released,buoy
1,1.75,73.07,NA,0,0
3,1.64,73.28,NA,0,0
4,1.75,73.77,NA,0,0
5,1.01,73.07,NA,0,0
6,1.1,73.3,NA,0,0
7,0.93,73.59,NA,0,0
8,0.62,73.73,NA,0,0
10,0.53,72.75,NA,0,0
11,0.04,73.51,NA,0,0
12,0.43,72.75,NA,0,0
13,0.01,73.11,NA,0,0
14,0.17,72.83,NA,0,0
15,-0.51,73.47,NA,0,0
18,-0.91,73.15,NA,0,0
19,-0.53,72.88,NA,0,0
20,-0.74,73.46,NA,0,0
21,-0.83,72.93,NA,0,0
22,7.31,72.71,NA,0,0
23,6.91,73.49,NA,0,0
24,7.02,72.5,NA,0,0
25,7.24,73.21,NA,0,0
26,6.38,72.38,NA,0,0
27,6.57,73.31,NA,0,0
28,6.69,72.62,NA,0,0
29,6.21,73.48,NA,0,0
30,6,72.69,NA,0,0
31,5.83,73.63,1,0,1
32,5.42,72.59,NA,0,0
33,5.71,72.57,NA,0,0
36,5.23,73.8,3,0,1
37,5.5,73.79,2,0,1
38,4.42,73.93,5,11,1
39,4.76,73.73,4,10,1
40,3.87,73.69,6,0,1
42,4.27,72.54,NA,0,0
45,3.58,73.81,7,0,1
46,2.84,73.8,NA,0,0
47,2.56,73.58,NA,0,0
48,3.14,73.82,8,0,1
50,2.55,72.67,NA,0,0
51,2.85,72.58,NA,0,0
52,2.21,72.7,NA,0,0
53,2.27,73.45,NA,0,0
54,2.03,73.02,NA,0,0
55,2.04,73.72,NA,0,0
