x,y
-157.79935482484,21.4566492782394
-157.764989997366,21.4509390324712
-157.720884162405,21.4577086451014
-157.705536262015,21.3780752629397
-157.654169888316,21.3339177515463
-157.635411343395,21.3076402857258
-157.69088599346,21.2797350122882
-157.798786384085,21.2686245793455
-157.849325934867,21.290845445231
-157.901751675427,21.3405581730958
-157.958440721651,21.3269155949707
-157.968310920219,21.3669131535646
-157.978439500948,21.3784886743981
-158.017274339815,21.3677399764813
-157.98097164613,21.3161152206217
-158.079156867485,21.3122394881998
-158.110343594373,21.3185956893717
-158.137835456352,21.3771450871584
-158.239095425428,21.4893346216641
-158.23868201397,21.533052883383
-158.273124356092,21.5852460799978
-158.123107673149,21.6002580835786
-158.020349087537,21.6918028833836
-157.962497321586,21.7013630233577
-157.851496345023,21.5533617212737
-157.854338548799,21.5119172225756
-157.829585537731,21.471454576091
-157.79935482484,21.4566492782394
